IR,geo_id,ClusterID
3.1181613695953274,10464,0
13.666029820778933,10471,2
38.1146731682129,11210,5
15.217667531487674,11232,2
17.785176160308765,11428,2
29.471413715995368,11411,2
24.815243794206253,11427,2
11.143799325118382,10307,2
40.51047220985493,10451,3
18.951179523666728,11004,2
6.623414675792446,10014,2
35.78055429639426,11432,4
52.94741037999484,11375,6
40.56349123117616,11220,7
46.374321321558455,10465,3
49.015974769999964,11203,6
28.846853783759798,10033,4
3.3155387150709434,10044,0
31.17843691388771,11422,3
23.981733847718715,11367,3
0.7656308822352003,10005,0
10.84093141878293,10470,2
10.738754354601042,11358,3
8.442248701687276,11360,2
17.0926775125954,10009,3
70.49960178101355,11236,7
35.77803124473394,11370,2
12.184145216984687,10037,1
10.605567836573755,10001,2
17.116026003433944,11426,2
5.3487337494425455,10038,2
20.98088294019726,10310,2
13.503783652298806,11436,2
12.816730415052008,11366,2
19.9337790793561,11694,2
5.23429587575083,11363,0
9.410282137618195,10075,2
24.59154676517392,10303,2
20.415566366333227,11378,3
24.218602694880254,11237,4
16.166918018358047,11692,2
38.887694340281094,10459,3
0.6812099921517074,10007,0
8.880983098239085,10036,2
0.7233989369706251,10280,0
16.934031269511248,10302,2
21.629911419035125,11416,2
22.867953490504078,11365,3
66.76946201334249,11372,5
59.756492458174755,10466,5
2.98435039904507,10013,2
12.98042061461456,11239,0
0.13562953477776318,10006,0
36.86643292753615,11413,4
21.92552599630289,11433,3
8.19967233657735,10474,0
13.735771925150402,11356,2
0.5510489987209439,10004,0
7.951311154232826,11693,2
5.75466504335418,10018,0
37.48167382568499,11206,5
45.01903335226235,11211,6
31.808363300540805,10025,5
52.464250954595634,10458,5
46.86541515192402,11235,6
53.651488036995936,11218,5
35.440925849834464,11420,4
30.866774332704157,11213,4
76.70996553037004,10469,5
23.187688649546548,10040,3
11.545173287644504,11222,3
70.5510940588556,11219,4
12.498921350968885,10021,3
28.09132045816659,10027,3
39.922377885241076,10312,4
15.257453926244125,11106,3
15.52810598178985,10024,4
30.08538565359777,11233,5
36.870115585685205,10460,3
18.075417818919963,10026,3
34.26424103318823,11374,3
11.283305358680082,11364,3
28.787958636334228,11354,4
7.8662518593046125,10022,2
45.94634700784809,10475,3
33.154340422721354,11419,4
10.394717935128938,10028,3
3.3398649756109084,10010,2
13.673243901592286,10011,3
48.61870261795956,11212,4
57.71441293511089,11230,5
37.47385672847668,10032,4
25.34038627294467,10002,4
27.32555421897996,11225,4
32.32234106762917,10031,4
89.6577191857159,11373,7
119.57718776649564,11368,7
20.51628581481782,11357,3
30.8205809721785,11421,3
12.940834613722473,11415,2
18.564975779760058,11217,3
28.239055740998086,11429,3
23.16400985130167,11418,3
3.8962241900444496,10017,1
62.93174039852784,11377,6
62.670913808120524,10462,6
5.747848300930856,11362,2
9.773657581270529,10039,2
14.302269397207056,11104,2
21.404677234027986,11423,3
18.119063933536378,10034,3
25.83142571703684,11224,3
41.62681075391629,11412,3
24.14684448056505,10309,3
17.414640051227252,11102,3
15.663504924359586,10030,2
26.351866767498,11414,2
31.208778790853106,10304,3
15.610286222414286,11379,3
37.00932203150478,11214,7
22.904096721238602,10035,2
15.616570409671114,11103,3
17.505359878980016,11228,3
15.423371321579909,11361,2
54.831704087248,10473,4
49.078426491159924,10463,5
18.80458557623388,11417,3
7.455868944300164,10065,2
47.0635760130408,11204,4
10.246684038815149,10003,1
17.596689018451798,11205,3
21.527493121911906,11238,4
3.1886701755374816,10012,2
19.525663464444737,10308,3
29.933190893081697,10454,2
59.33404938337117,10453,4
66.59481124562079,10314,6
58.65694677021202,11434,5
40.19687024976884,11435,5
12.104289237277046,10023,4
31.66115223766974,11221,6
67.4296766114694,10456,5
15.975000994978473,10016,3
51.25520352339299,10029,4
29.968322069365968,11355,5
62.60942783390601,10457,4
27.68139370652716,10301,3
59.652947829079494,10461,3
44.947789893418296,11369,3
66.50599740953841,10468,6
42.77503388215519,11385,7
16.162145998958295,11101,1
32.68357170302625,10305,3
9.453975700791487,11231,3
79.89481812951634,10467,7
36.119565840124785,10306,4
39.997738978087,11223,5
14.166476058866465,11201,4
49.9695300860385,10452,4
28.765884073982306,10455,3
44.7794003133149,11226,7
55.39929064883109,11691,4
11.508178504291207,10019,1
55.18725184936193,11208,6
43.366449289203956,10472,4
17.275152352081932,11105,3
17.76548754367832,11215,5
10.927132172393613,10128,4
60.26225731169325,11234,7
17.291627696195064,11216,4
34.82049617217672,11229,6
48.823793734532956,11207,6
34.097016576903115,11209,5
2.9108362348051737,11697,0
